model,problem,cost,time,solution
PSO,ft06,73,7.147642850875855,[ 0 15 15 36  3 43]
PSO,ft06,73,5.481709003448486,[ 0 15 15 36  3 43]
SA,ft06,74,6.369474172592163,"[0, 17, 18, 54, 49, 22]"
SA,ft06,83,9.750878095626833,"[0, 33, 54, 24, 0, 43]"
SA,ft06,79,8.101963996887207,"[51, 28, 58, 35, 62, 32]"
SA,ft06,80,9.551706790924072,"[5, 22, 24, 26, 26, 33]"
SA,ft06,79,8.595388412475586,"[9, 10, 23, 51, 0, 71]"
SA,ft06,81,7.990366458892822,"[11, 17, 25, 33, 37, 61]"
SA,ft06,74,6.166797876358032,"[0, 17, 18, 2, 42, 53]"
SA,ft06,73,7.146139621734619,"[0, 15, 15, 40, 51, 0]"
SA,ft06,74,8.809572219848633,"[0, 16, 16, 24, 17, 10]"
SA,ft06,79,8.60289454460144,"[18, 31, 0, 18, 54, 0]"
SA,ft06,79,8.852108478546143,"[9, 0, 23, 14, 46, 15]"
SA,ft06,80,8.6714506149292,"[19, 32, 0, 0, 47, 24]"
SA,ft06,73,7.088593482971191,"[0, 15, 15, 40, 40, 33]"
SA,ft06,73,7.648573160171509,"[0, 15, 15, 24, 8, 2]"
SA,ft06,77,6.792337656021118,"[3, 20, 21, 46, 53, 0]"
SA,ft06,83,9.245945692062378,"[0, 33, 42, 22, 2, 67]"
SA,ft06,74,5.900568723678589,"[0, 17, 18, 28, 46, 34]"
SA,ft06,79,8.863619089126587,"[9, 14, 23, 55, 34, 43]"
SA,ft06,73,7.200687885284424,"[0, 15, 15, 0, 29, 26]"
SA,ft06,81,7.250231266021728,"[50, 0, 1, 50, 29, 0]"
SA,ft06,79,8.739010095596313,"[9, 0, 23, 11, 30, 0]"
SA,ft06,79,7.486933469772339,"[18, 31, 20, 29, 54, 4]"
SA,ft06,73,7.385347127914429,"[0, 15, 16, 0, 0, 0]"
SA,ft06,74,6.348956108093262,"[0, 17, 18, 8, 48, 8]"
SA,ft06,82,8.349173307418823,"[56, 29, 16, 17, 16, 11]"
SA,ft06,79,8.365689277648926,"[18, 31, 31, 10, 54, 68]"
